,Subject,Domain,Sub Domain,Standard,Cluster,Lesson Taught
14,Math,Functions,Interpreting functions,"Determine an explicit expression, a recursive process, or steps for
calculation from a context.",Understand the concept of a function and use function notation,None
15,Math,Functions,Interpreting functions,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",Understand the concept of a function and use function notation,"Course: Intro to Computer Science With Python, Unit: Python Functions, Lesson: Math Function Notation
Course: Intro to Computer Science With Python, Unit: Python Functions, Lesson: Python Function Notation
"
16,Math,Functions,Interpreting functions,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers. For example, the Fibonacci sequence is defined recursively by f(0) = f(1) = 1, f(n+1) = f(n) + f(n-1) for n ≥ 1.",Understand the concept of a function and use function notation,None
17,Math,Functions,Interpreting functions,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes. For example, if the function h(n) gives the number of person-hours it takes to assemble n engines in a factory, then the positive integers would be an appropriate domain for the function.",Interpret functions that arise in applications in terms of the context,"Course: Intro to Computer Science With Python, Unit: Python Functions, Lesson: Python Function Notation
"
18,Math,Functions,Building functions,"Combine standard function types using arithmetic operations. For example, build a function that models the temperature of a cooling body by adding a constant function to a decaying exponential, and relate these functions to the model.",Build a function that models a relationship between two quantities,"Course: Intro to Computer Science With Python, Unit: Python Functions, Lesson: Composite Functions: Simple Math Notation
"
19,Math,Functions,Building functions,"Compose functions. For example, if T(y) is the temperature in the atmosphere as a function of height, and h(t) is the height of a weather balloon as a function of time, then T(h(t)) is the temperature at the location of the weather balloon as a function of time.",Build a function that models a relationship between two quantities,"Course: Intro to Computer Science With Python, Unit: Python Functions, Lesson: Composite Functions: Simple Math Notation
"
20,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Represent data with plots on the real number line (dot plots, histograms, and box plots).","Summarize, represent, and interpret data on a single count or measurement variable",None
21,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Use statistics appropriate to the shape of the data distribution to compare center (median, mean) and spread (interquartile range, standard deviation) of two or more different data sets.","Summarize, represent, and interpret data on a single count or measurement variable","Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Exploring Your Data
"
22,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Interpret differences in shape, center, and spread in the context of the data sets, accounting for possible effects of extreme data points (outliers).","Summarize, represent, and interpret data on a single count or measurement variable",None
23,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Use the mean and standard deviation of a data set to fit it to a normal distribution and to estimate population percentages. Recognize that there are data sets for which such a procedure is not appropriate.
Use calculators, spreadsheets, and tables to estimate areas under the normal curve.","Summarize, represent, and interpret data on a single count or measurement variable",None
24,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data.","Summarize, represent, and interpret data on two categorical and quantitative variables",None
25,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Represent data on two quantitative variables on a scatter plot, and describe how the variables are related.","Summarize, represent, and interpret data on two categorical and quantitative variables",None
26,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,"Fit a function to the data; use functions fitted to data to solve problems in the context of the data. Use given functions or choose a function suggested by the context. Emphasize linear, quadratic, and exponential models.","Summarize, represent, and interpret data on two categorical and quantitative variables","Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Training a Linear Regression Model
"
27,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,Informally assess the fit of a function by plotting and analyzing residuals.,"Summarize, represent, and interpret data on two categorical and quantitative variables",None
28,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,Fit a linear function for a scatter plot that suggests a linear association.,"Summarize, represent, and interpret data on two categorical and quantitative variables","Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Training a Linear Regression Model
"
29,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.,Interpret linear models,None
30,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,Compute (using technology) and interpret the correlation coefficient of a linear fit.,Interpret linear models,None
31,Math,Statistics and Probability,Interpreting Categorical and Quantitative Data,Distinguish between correlation and causation.,Interpret linear models,None
32,Math,Statistics and Probability,Making Inferences and Justifying Conclusions,Understand statistics as a process for making inferences about population parameters based on a random sample from that population.,Understand and evaluate random processes underlying statistical experiments,None
33,Math,Statistics and Probability,Making Inferences and Justifying Conclusions,"Decide if a specified model is consistent with results from a given data-generating process, e.g., using simulation. For example, a model says a spinning coin falls heads up with probability 0.5. Would a result of 5 tails in a row cause you to question the model?",Understand and evaluate random processes underlying statistical experiments,None
34,Computer Science,Python,Running Python Code,Create a python script by creating a your_file.py file and typing and saving python code inside of it.,Running a python script through a terminal,"Course: Intro to Computer Science With Python, Unit: Running Python Code, Lesson: Running A Python Script
"
35,Computer Science,Python,Running Python Code,"Use your Terminal (or command prompt) to execute (run) a python file. To run a python you use the keyword python followed by the name of your python script, i.e, python your_file.py . If you have python3 available and you wish to instead use python3 you can instead type python3 your_file.py .",Running a python script through a terminal,"Course: Intro to Computer Science With Python, Unit: Running Python Code, Lesson: Running Python Code Through The Interactive Interpreter
Course: Intro to Visualization, Unit: Simple Data Visualization, Lesson: Intro to Visualization With Matplotlib Part II
"
36,Computer Science,Python,Running Python Code,"Describe the naming conventions for saving python files. All python files must be saved with the extension "".py"" and names, by convention, should be in lower-case and should not contain any spaces.",Running a python script through a terminal,None
37,Computer Science,Python,Running Python Code,"Recognize that when running a python script you must give the python command the correct path to the script you want to run. i.e., python3 path/to/your_script.py",Running a python script through a terminal,None
38,Computer Science,Python,Running Python Code,"Run python code through the python interactive interpreter by first opening your terminal and entering the command ""python"". It should take you into the python interactive interpreter.",Use the python interactive interpreter to quickly run and test out python code.,None
39,Computer Science,Python,Running Python Code,Use the quit() function to exit the python terminal. Simply type quit() in your python interpreter and press enter.,Use the python interactive interpreter to quickly run and test out python code.,"Course: Intro to Computer Science With Python, Unit: Running Python Code, Lesson: Running Python Code Through The Interactive Interpreter
"
40,Computer Science,Python,Python Operators,"Interpret the symbols that carry out arithmetic operations. Python ""operators"" carry out arithmetic operations. The values that they ""operate"" on are called operands. For instance, in the arithmetic express 4 + 2, + is the operator and the operands are the value 4 and 2. The major python operators are  addition, subtraction, multiplication, division, modulus, and exponent.",Interpreting python arithmetic operators,None
41,Computer Science,Python,Python Operators,"Use the modulus operator to get the remainder of a number. The % symbol gives you the remainder left after division. For instnace, 7 % 3 will give you the value 1, since 1 is the remainder left after dividing 7 by 3.",Interpreting python arithmetic operators,None
42,Computer Science,Python,Python Operators,"Use the ** exponent operator. The ** symbol is the exponent operator. For instance, 4 ** 2 gives you the square of 4, 16. Similarly 2 ** 4 gives you 2 to the power of 4 (2^4), 16.",Interpreting python arithmetic operators,"Course: Intro to Computer Science With Python, Unit: Simple Arithmetic Operations, Lesson: Python Arithmetic
"
43,Computer Science,Python,Python Operators,"Interpret the = assignment operator which assigns an object to a variable name, i.e., foo = 24 + 3 . Do not confuse the = assignment operator with the == equality operator.",Identify the assignment operator which assigns an object to the a variable name.,"Course: Intro to Computer Science With Python, Unit: Variables, Lesson: Creating and Using Variables
"
44,Computer Science,Python,Variables,"Create variables by typing a variable name followed by the equality operator and the value or expression you wish to assign to the variable. i.e., salary = (40 * 200) + 6000 .",Create and Use Variables,"Course: Intro to Computer Science With Python, Unit: Variables, Lesson: Creating and Using Variables
"
45,Computer Science,Python,Variables,"Use the same variable name in the expression to the right and to the left of the assignment operator. If you already have a defined variable, you can add to it like so, i.e., students = students + 1 .",Create and Use Variables,"Course: Intro to Computer Science With Python, Unit: Variables, Lesson: Creating and Using Variables
"
46,Computer Science,Python,Variables,"Use the +=, -=, or *= shortcuts when updating a variable using the same variable in the assignment operator. i.e., age += 1 has the same meaning as age = age + 1",Create and Use Variables,"Course: Intro to Computer Science With Python, Unit: Variables, Lesson: Creating and Using Variables
"
47,Computer Science,Python,Variables,"Define CONSTANTS on a module level, written in all capital letters with underscores separating words. Examples include MAX_OVERFLOW and TOTAL.",Create and Use Variables,"Course: Intro to Computer Science With Python, Unit: Variables, Lesson: Using Variables Practice
"
48,Computer Science,Python,Variables,Recognize that variables can be overwritten by simply redefining the variable using the same name.,Override variables,None
49,Computer Science,Python,Overview On Python Data Types,"Distinguish mutable (changeable) collections from immutable collections. Mutable collection types such as lists, and dicts can be modified after creation, whereas immutable types like strings, tuples, and cannot.","Generalize python collections objects; a group of values that are stored as a collection. Some commonly used built-in collections objects are lists, dicts, tuples, and strings.",None
50,Computer Science,Python,Python Number Types,"Recognize that division involving only integers will always result in an integer. The information after the decimal will be truncated. i.e., 5 / 2 will return the integer 2. The .5 is truncated.",Use Python Integer Types,None
51,Computer Science,Python,Strings,"Use the .split() method of a string to return a list of the words of the string. i.e.,  ""Eke Uche Yang Hu"".split() will return the list ['Eke', 'Uche', 'Yang', 'Hu'] .",Use built in methods that come with string objects.,None
52,Computer Science,Python,Lists,Recognize that lists are ordered collections and as a result each item in a list is given an index or position number used to access such item.,Access items in a list,"Course: Intro to Computer Science With Python, Unit: Python Lists, Lesson: Accessing Items in a List
"
53,Computer Science,Python,Lists,"Access an item in a list by writing the name of the list, followed by square brackets and the position number of the item inside the brackets. i.e., mylist[4] With 4 representing the fifth element in the list.",Access items in a list,"Course: Intro to Computer Science With Python, Unit: Python Lists, Lesson: Accessing Items in a List
"
54,Computer Science,Python,Lists,"Recognize that position numbers start counting from 0. The first item in a list is position 0. The second item is position 2, and so on. Therefore in the list my_friends = ['Eke', 'Ying', 'Uche'], the string 'Ying' would be position number 1.",Access items in a list,"Course: Intro to Computer Science With Python, Unit: Python Lists, Lesson: Accessing Items in a List
"
55,Computer Science,Python,Lists,"Use negative index positions to start counting from the end of the list. -1  indicates the last item in the list and -2 indicates the second to last, and so on.",Access items in a list,"Course: Intro to Computer Science With Python, Unit: Python Lists, Lesson: Accessing Items in a List
"
56,Computer Science,Python,Lists,"Create a list by placing python values separated by commas inside of square brackets. i.e., [84, 93, 78.8, 80]",Create a list using square brackets,"Course: Intro to Computer Science With Python, Unit: Python Lists, Lesson: Creating a List
"
57,Computer Science,Python,Lists,"Create a list comprising of different data types. i.e. ['Yang', 57, 3.78]",Create a list using square brackets,"Course: Intro to Computer Science With Python, Unit: Python Lists, Lesson: Creating a List
"
58,Computer Science,Python,Python Exceptions,"Recognize that errors detected during execution are called exceptions. Python has many different type of exceptions that might happen when it tries to execute your code. Not all exceptions, are fatal to the execution of your code.",Recognize exceptions and interpret the error message and effects on the execution of your code.,"Course: Intro to Computer Science With Python, Unit: Variables, Lesson: Identifying and Avoiding NameError Exceptions
"
59,Computer Science,Python,Python Exceptions,Predict and explain the possible reasons for the NameError Exception. Recognize it is raised by unqualified names and that the associated value is an error message that includes the name that could not be found.,Identify and interpret the NameError Exception,"Course: Intro to Computer Science With Python, Unit: Variables, Lesson: Identifying and Avoiding NameError Exceptions
"
60,Computer Science,Python,Python Exceptions,Decipher Traceback Error Messages by starting with the very last line of the traceback call. That line should indicate with specificity what the problem or Exception raised. i.e. NameError: name 'dollars_per_hours' is not defined.,Breakdown Traceback calls line by line to understand your error,None
61,Computer Science,Python,Python Exceptions,Decipher Traceback Error Messages by identifying the second to last line of your traceback call which should display the python code which contains error raising Exception.,Breakdown Traceback calls line by line to understand your error,None
62,Computer Science,Python,Python Exceptions,Decipher Traceback error messages by identifying the third to last line of your traceback call which should contain the file name and line number of the python code which contains the error raising Exception.,Breakdown Traceback calls line by line to understand your error,None
63,Computer Science,Python,Python Exceptions,Recognize that an IndexError is the exception that is raised when a key or index used on a mapping or sequence is invalid,"Interpret Index Errors that might occur when attempting to accessing a collections item such a list, dictionary, string, or tuple.",None
64,Computer Science,Django,Models,"Create a Django class-based model to represent a database table. For instance, if you wish to save comments on your blog, you can create a Comment class model with the attributes content, user, and timestamp. This means you wish to create a ""Comment"" table with the columns ""content"", ""user"", and ""timestamp.""",Making a Model,None
65,Computer Science,PEP 8 Style Guide,The Rationale for PEP 8,Discuss the reasons for having a style guide and coding convention that helps you ensure you follow common Python coding conventions.,Understand and summarize what PEP 8 Style Guide is and reasons for its use,None
66,Computer Science,PEP 8 Style Guide,The Rationale for PEP 8,Review how the PEP-8 style guide evolves over time as additional conventions are identified and past conventions are rendered obsolete by changes in the language itself.,Understand and summarize what PEP 8 Style Guide is and reasons for its use,None
67,Computer Science,PEP 8 Style Guide,The Rationale for PEP 8,"Give examples of projects that have their own coding style guidelines. Understand that in the event of any conflicts, such project-specific guides take precedence for that project.",Understand and summarize what PEP 8 Style Guide is and reasons for its use,None
68,Computer Science,PEP 8 Style Guide,Naming Conventions,"Explain why function names should be lowercase, with words separated by underscores and how it is necessary to improve readability.",Use PEP 8 naming conventions for functions and variable names,None
69,Computer Science,PEP 8 Style Guide,Naming Conventions,"Explain why variable names should be lowercase, with words separated by underscores and how it is necessary to improve readability.",Use PEP 8 naming conventions for functions and variable names,None
70,Computer Science,PEP 8 Style Guide,Naming Conventions,"Recognize that mixedCase is allowed only in contexts where that's already the prevailing style (e.g. threading.py), to retain backwards compatibility.",Use PEP 8 naming conventions for functions and variable names,None
71,Data Science,Data Visualization,Python Visualization Libraries,"Produce a simple line chart by passing the plot() method two positional arguments representing an x, and a y axis, i.e. plt.plot(x,y). Each should represent a 1xn matrix of coordinates to be plotted.",Use maptlotlib plot() method to plot a simple line chart.,"Course: Intro to Visualization, Unit: Simple Data Visualization, Lesson: Intro to Visualization With Matplotlib Part I
Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Understanding Our Data Through Visualization
"
72,Data Science,Data Visualization,Python Visualization Libraries,"Provide the .heatmap() method a correlation matrix DataFrame as an argument to create a heatmap of the correlations in your DataFrame, i.e., sns.heatmap(your_df.corr())",Use the seaborn method .heatmap() to create a heatmap of your data.,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Understanding Our Data Through Visualization
"
73,Data Science,Data Visualization,Python Visualization Libraries,"Provide the heatmap method a second keyword argument, annot=True, to display the numerical correlations on your heatmap. i.e., sns.heatmap(USAhousing.corr(), annot=True)",Use the seaborn method .heatmap() to create a heatmap of your data.,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Understanding Our Data Through Visualization
"
74,Data Science,Data Visualization,Python Visualization Libraries,"Create a scatterplot of EVERY column in your DataFrame to see how each column is related to each other column using the seaborn method .pairplot(), import seaborn as sns; sns.pairplot(your_df)",Use the seaborn pairplot method to create a scatter of every column in your DataFrame.,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Understanding Our Data Through Visualization
"
75,Data Science,Data Analysis,Numpy For Scientific computing and data analysis (Python),"Create a 1d numpy array by first creating a python list, and then use the numpy array() method to convert or "" cast "" our list into a numpy array object.",Construct arrays of different shapes using the np.array() method,"Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Arrays
"
76,Data Science,Data Analysis,Numpy For Scientific computing and data analysis (Python),"Create a 2d numpy array by passing a list of numpy arrays or regular python lists to the numpy array() method, i.e., np.array([list_one, list_two, list_three])",Construct arrays of different shapes using the np.array() method,"Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Arrays
"
77,Data Science,Data Analysis,Numpy For Scientific computing and data analysis (Python),"Create an array of evenly spaced numbers within a specific range using numpy's linspace() method. i.e., np.linspace(0, 6, 4), will give you array([ 0., 2., 4., 6.])","Construct specialized arrays using the various methods of numpy such as or np.linspace(), np.random.randint().","Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Common Methods
"
78,Data Science,Data Analysis,Numpy For Scientific computing and data analysis (Python),"Produce one random integer within a specified range using the np.random.randint() method, i.e., np.random.randint(1, 100).","Construct specialized arrays using the various methods of numpy such as or np.linspace(), np.random.randint().","Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Arrays
"
79,Data Science,Data Analysis,Numpy For Scientific computing and data analysis (Python),"Create a list of a specific amount of random integers within a specified range using the np.random.randint() method to get a l, i.e., np.random.randint(1, 100, 10), returning you a list of 10 integers between 1 and 100.","Construct specialized arrays using the various methods of numpy such as or np.linspace(), np.random.randint().","Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Arrays
"
80,Data Science,Data Analysis,Numpy For Scientific computing and data analysis (Python),"Create a 1-dimensional array of evenly spaced values within a given interval using the arange() method. i.e, np.arange(7,20) will return array([ 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]).","Construct specialized arrays using the various methods of numpy such as or np.linspace(), np.random.randint().","Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Common Methods
"
81,Data Science,Data Analysis,Numpy For Scientific computing and data analysis (Python),"Give a new shape to an array without changing its data using the array's reshape() method, i.e., your_array.reshape(4,5).","Classify, interpret and modify the shape of a numpy array","Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Common Methods
"
82,Data Science,Data Analysis,Numpy For Scientific computing and data analysis (Python),Access a numpy array's shape property to get the currenty shape of an array. i.e. my_arr.shape,"Classify, interpret and modify the shape of a numpy array","Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Common Methods
"
83,Data Science,Data Analysis,Numpy For Scientific computing and data analysis (Python),"Recognize that the reshape method takes two arguments, representing the shape that you wish to reshape your array to.","Classify, interpret and modify the shape of a numpy array","Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Common Methods
"
84,Data Science,Data Analysis,Numpy For Scientific computing and data analysis (Python),Recognize that an array can only be reshaped into a new shape that is compatible with the original shape. ,"Classify, interpret and modify the shape of a numpy array","Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Common Methods
"
85,Data Science,Data Analysis,Numpy For Scientific computing and data analysis (Python),"Multiply the row and column value of a would-be new array shape to determine if it is compatiable with the original 1d array. If the product is equal to the number of elements in the 1d array then it is compatible. i.e., original_arr.reshape(4,5) would only be compatible if the original array had 4 * 5 = 20 elements.","Classify, interpret and modify the shape of a numpy array","Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Common Methods
"
86,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Recognize that when you do mathematical operations with Pandas Series, Pandas tries to match up each label position. If the labels don't match up it will result in a Null or NAN number. Null means does not exist.",Compose mathematical operations on Series,"Course: Intro to Data Analysis, Unit: Intro to Pandas Series, Lesson: Pandas Series
"
87,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Generate a new Pandas Series by applying mathematical operations to one or more Series. i.e., jordan_better_than_kobe_series = jordan_series - kobe_series",Compose mathematical operations on Series,"Course: Intro to Data Analysis, Unit: Intro to Pandas Series, Lesson: Pandas Series
"
88,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Construct a dataframe using a dictionary. i.e. my_dict = {'Weight': [180, 120, 110], 'Height': [6.3, 5.8, 5.6], 'Sex': ['male', 'female', 'female']}; pd.DataFrame(my_dict, index=['Barry', 'Susan', 'Katniss'])",Construct Dataframes using the pandas DataFrame() method,"Course: Intro to Data Analysis, Unit: Pandas Dataframe, Lesson: Pandas Dataframe
"
89,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Construct a DataFrame of a specified size comprised of random numbers using the Pandas DataFrame() method and the numpy randn() method as the source of your data. i.e., pd.DataFrame(randn(5,4),index=['A', 'B', 'C', 'D', 'E'] ,columns='W X Y Z'.split())",Construct Dataframes using the pandas DataFrame() method,"Course: Intro to Data Analysis, Unit: Pandas Dataframe, Lesson: Pandas Dataframe
"
90,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Use bracket-notation and the index name of your DataFrame to access a data point i.e., your_df['Index Name']",Select or slice columns of your DataFrame using a variety of methods,"Course: Intro to Data Analysis, Unit: Pandas Dataframe, Lesson: Pandas Dataframe
"
91,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Select a row in your DataFrame by index name by using the .loc property with bracket-notation and the index name of the row you wish to select, i.e., your_df.loc['Index Name']",Select or slice rows of your DataFrame using a variety of methods,"Course: Intro to Data Analysis, Unit: Pandas Dataframe, Lesson: Pandas Dataframe
"
92,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Select a row in your DataFrame by index position number by using the .iloc property with bracket-notation and the position number of the row you wish to select, i.e., your_df.loc[3]  will get you the 4th row in your data.",Select or slice rows of your DataFrame using a variety of methods,"Course: Intro to Data Analysis, Unit: Pandas Dataframe, Lesson: Pandas Dataframe
"
93,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Make new columns that are a combination of old columns by adding together two columns from your DataFrame, i.e., df['new'] = df['W'] + df['Y'].",Create new columns for an already existing DataFrame,"Course: Intro to Data Analysis, Unit: Pandas Dataframe, Lesson: Pandas Dataframe
"
94,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Create a Pandas Series using a python list, i.e., pd.Series(data=[14,15,16])",Construct a Series using a the Pandas Series() method.,"Course: Intro to Data Analysis, Unit: Intro to Pandas Series, Lesson: Pandas Series
"
95,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Create a Pandas Series using a Numpy array, i.e., my_arr = pd.array(14,15,16); pd.Series(data=my_arr)",Construct a Series using a the Pandas Series() method.,"Course: Intro to Data Analysis, Unit: Intro to Pandas Series, Lesson: Pandas Series
"
96,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Provide labels for a Pandas Series by adding a second keyword-argument when creating a Series with the Series method., i.e.,  pd.Series(data=[14,15,16], labels=[""Summer"", ""Katniss"", ""Julia""])",Construct a Series using a the Pandas Series() method.,"Course: Intro to Data Analysis, Unit: Intro to Pandas Series, Lesson: Pandas Series
"
97,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Create a Pandas Series using a dictionary as the data source, i.e., my_dict = {'Summer': 14, 'Yoyo': 15, 'Katniss': 16}; pd.Series(my_dict)",Construct a Series using a the Pandas Series() method.,"Course: Intro to Data Analysis, Unit: Intro to Pandas Series, Lesson: Pandas Series
"
98,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Use bracket-notation and the index name of your series to access a data point i.e., your_series['Index Name']",Access a data point in a Series using a variety of methods.,"Course: Intro to Data Analysis, Unit: Intro to Pandas Series, Lesson: Pandas Series
"
99,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Use  .loc property with bracket-notation and your index name to access a data point in your Series, your_series.loc['Index Name']",Access a data point in a Series using a variety of methods.,"Course: Intro to Data Analysis, Unit: Intro to Pandas Series, Lesson: Pandas Series
"
100,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Use .iloc property with bracket-notation and your index position number to access a data point in your Series, your_series.iloc[2] , will get you the third item in your Series.",Access a data point in a Series using a variety of methods.,"Course: Intro to Data Analysis, Unit: Intro to Pandas Series, Lesson: Pandas Series
"
101,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Pass the .loc[ ] bracket-notation two lists, the first representing the rows you desire and the second representing the columns you wish.",Select a subset of rows and columns from your DataFrame,"Course: Intro to Data Analysis, Unit: Pandas Dataframe, Lesson: Pandas Dataframe
"
102,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Represent and load a csv file in Python by passing the .read_csv() method a ""relative path"" as an argument. Your path should be ""where"" your .csv file is located relative to your current Terminal location.",Load a csv file into a Pandas DataFrame using the .read_csv() method.,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Exploring Your Data
"
103,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Analyze the first 5 rows in your DataFrame using the .head() method of your DataFrame. i.e., your_df.head()",Explore the data of your DataFrame using a variety of methods.,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Exploring Your Data
"
